Código Proyecto,Foco Apoyo,Tipo Intervención,Instrumento,Instrumento Homologado,Estado Data,Tipo Persona,Rut Beneficiario,Beneficiario,Título,Objetivo,Año Adjudicación,Financiamiento Innova,Aprobado Privado,Aprobado Privado Pecuniario,Monto Certificado Ley,Tipo Innovación,Mercado Objetivo,Criterio Mujer,Género,Sostenible,ODS principal,Meta principal,Economía Circular,Modelo de Circularidad,Región,Tramo Ventas,Inicio Actividad Económica,Sector Económico,Patron principal asociado,Tipo proyecto,R principal,Estrategia R Principal,Ley REP,Ley REP (Sí/No),ERNC,Tendencia Final
25CYE-280651,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,77691293-k,TERAFLEX SPA,PORTIX Plataforma de Detección Oportuna de Vehiculos con Encargo,"Escalar la implementación a nivel nacional de PORTIX, solución que busca transformarse en la principal herramienta de los organismos públicos en la pronta captura de vehículos con encargo, mediante una plataforma centralizada la cual usa inteligencia artificial en sus procesos con el fin de apoyar la seguridad pública y optimizando la interacción entre municipios y policías.",2025,$93.717.400,$63.623.360,$32.319.560,,Servicio,Sector público,Incentivo,Masculino,No,ODS11,,,,Región de La Araucanía,Pequeña,2023-01-25 0:00:00,Construcción,,,,,,,,Software de aplicación
25CYE-280550,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,76746511-4,FITS NR Consultoría Ltda.,"Consolidación y expansión del servicio  de árbolesQhablan®, plataforma integrada para monitoreo en tiempo real de la captura de CO2 en ecosistemas forestales, usando sensores IoT y transmisión a larga distancia con LoRaWAN","Implementar la estrategia de penetración, escalamiento y consolidación del servicio Árboles que Hablan, en el mercado chileno y sentar las bases para la expansión posterior a norteamérica, a los mercados de Canadá y Estados Unidos.",2025,$146.674.000,$131.532.000,$66.216.000,,Servicio,Forestal,Incentivo,Masculino,No,ODS13,,,,Región del Biobío,Microempresa,2018-06-28 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Internet de las Cosas (IoT)
25CYE-280499,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,76026848-8,FARMACOLOGÍA EN AQUACULTURA VETERINARIA FAV S.A.,SINEFOL® “Empaquetamiento técnico y comercial de un nuevo acondicionador de agua no farmacológico de carácter antifúngico que favorece el bienestar de peces en ambiente dulce acuícola con foco en la industria acuícola nacional y brasileña”,"Validar técnicamente la producción industrial del acondicionador de agua antifúngico SINEFOL® y, posteriormente, evaluar su performance en pisciculturas chilenas y brasileñas afectadas con Saprolegnia spp para establecer una pauta de uso, desarrollar una estrategia de posicionamiento y comercialización tanto en Chile como en Brasil que permita alcanzar ventas totales de USD 500.000 y exportación USD 54.000 FOB tras el primer año de su comercialización.",2025,$74.550.040,$279.422.542,$149.402.542,,Producto,Pesca y acuicultura,No,Masculino,No,ODS8,,,,Región de los Lagos,Grande,2008-07-29 0:00:00,Alimentos (excepto vitivinícola),,,,,,,,Química Verde (Green Chemestry)
25CYE-280372,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,76571624-1,Patagonia Vital SPA,Escalamiento Nacional e Internacional de Patagonia Vital SPA y su Ruscus Italiano de la Patagonia Chilena.,"Consolidar en Chile, EEUU y Canadá el ruscus italiano producido en la Patagonia chilena por Patagonia Vital SPA, mediante la ejecución de demostraciones con clientes, envío de muestras, y la realización de estudios técnicos y comerciales. Esto permitirá establecer una base sólida para identificar oportunidades, mitigar riesgos y facilitar la expansión nacional e internacional del negocio.",2025,$150.000.000,$100.000.000,$100.000.000,,Producto,Agrícola (excepto cultivo de uvas),No,Masculino,No,ODS8,,,,Región de Los Ríos,Pequeña,2017-09-27 0:00:00,Comercio y retail,,,,,,,,Compra fácil
25CVI-302528,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,77216712-1,Haiken Vetscience SpA,MicrobiomeScan: Índice Diagnóstico de Microbiota Intestinal para Optimización de la Salud y Productividad Animal,"Validar un sistema innovador de caracterización de la microbiota intestinal en animales de compañía y mamíferos de interés comercial, mediante la investigación y desarrollo de métodos de análisis cuantitativos de qPCR, algoritmos bioinformáticos avanzados y plataformas digitales integradas, que permitan identificar perfiles microbianos asociados con la salud intestinal para prevenir infecciones y optimizar el rendimiento productivo a través de intervenciones nutricionales personalizadas.",2025,$185.864.640,$20.835.360,$1.835.360,,Servicio,Ganadero,Incentivo,Femenino,No,ODS2,,,,Región del Biobío,Microempresa,2020-10-08 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Biotecnología
25CVI-302330,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,76468917-8,AGUILERA & AGUILERA LIMITADA,Desarrollo y validación de mulch agrícola compostable con bacterias Pseudomonas encapsuladas para aumentar la resiliencia de cultivos al estrés hídrico en condiciones de cambio climático,"Desarrollar y validar un mulch agrícola compostable a partir de matrices bioplásticas con incorporación de bacterias Pseudomonas encapsuladas en β-ciclodextrinas, evaluando su funcionalidad como enmienda biológica para mejorar la resiliencia de cultivos hortofrutícolas frente al estrés abiótico por sequía, y su desempeño agronómico, ambiental y comercial en condiciones reales de uso, para su escalamiento industrial y posterior validacion comercial en el mercado nacional.",2025,$179.760.000,$120.000.000,$60.000.000,,Producto,Agrícola (excepto cultivo de uvas),No,Masculino,Sí,ODS9,,,,Región del Biobío,Mediana,2015-08-21 0:00:00,"Química, caucho y plásticos (excepto industria farmacéutica)",,,,,,,,Green Technologies (Tecnologías Verdes)
25CVI-302321,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,77565649-2,Genóva Bioingeniería SpA,Proyecto Centinela: Tecnología Nacional para la Detección Temprana del Deterioro Clínico en Pacientes Hospitalarios,"Desarrollar y validar un dispositivo médico innovador basado en algoritmos de clasificación y tecnología de medición biomédica, centrado en la optimización de la gestión de recursos en áreas de Urgencia y Hospitalización en Centros Asistenciales por medio de la medición del riesgo del deterioro clínico de los pacientes.Este sistema integrará la digitalización y automatización de escalas clínicas existentes para la evaluación del riesgo de deterioro clínico, además del desarrollo de una nueva escala de monitoreo continuo basada en algoritmos que ponderen los datos de sensores y realice predictores que determinen el riesgo de deterioro clínico de los pacientes. Esta nueva escala automatizada requiere la creación de un dispositivo biomédico ergonómico y portátil que analice los datos en tiempo real, y permita detectar tempranamente eventos adversos, optimizar la toma de decisiones médicas y mejorar la eficiencia en la gestión del recurso humano.Desde el diseño a la validación de esta plataforma de gestión se realizará pensando en entornos clínicos, lo que permitirá medir su impacto en la reducción de tiempos de respuesta y la optimización del manejo hospitalario, asegurando su viabilidad para una futura implementación en el sistema de salud.",2025,$160.300.000,$65.940.000,$33.540.000,,Producto,Salud y Farmacéutica (en humanos),No,Masculino,No,ODS3,,,,Región de los Lagos,Pequeña,2022-05-03 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Biotecnología
25CVI-302310,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,76498866-3,Centro de Biotecnología  GreenCell SpA,"Validación de prototipo de tira inmunorreactiva para la detección ""point of care"" del hongo patógeno Fusarium Circinatum en la industria foresta","Desarrollar un prototipo de tira inmunocromatográfica para la detección rápida y específica de Fusarium circinatum, validado en muestras biológicas bajo condiciones reales de campo, con aplicabilidad directa como herramienta de diagnóstico in-situ en el sector forestal. Se cuenta con un desarrollo previo de componentes moleculares conformando una tira reactiva que logra reconocer el hongo Fusarium circinatum aislado en medio de cultivos a escala de laboratorio. Esto permitió contar con la prueba de concepto de la funcionalidad del sistema diagnóstico, sin embargo, se necesita ajustar los componentes de la tira para que se pueda aplicar en muestras biológicas en condiciones de campo.",2025,$202.500.000,$22.500.000,0,,Producto,Forestal,Incentivo,Femenino,No,,,,,Región del Biobío,Microempresa,2015-05-04 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Biotecnología
25CVC-302525,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Colaborativo,Crea y Valida I+D+i Colaborativo,VIGENTE,Persona Jurídica constituida en Chile,77532099-0,Sustainability Solutions Group (Chile) SPA,Acelerador de Mitigación: Herramienta avanzada para el desarrollo de perfiles de proyectos de acciones climáticas comunal priorizadas.,"Desarrollar y validar una herramienta tecnológica digital basada en inteligencia artificial  para apoyar a gobiernos locales y municipios chilenos ó actores interesados en la planificación y acciones de implementación climática comunal, mediante el análisis de inventarios de gases de efecto invernadero (GEI) propios de cada territorio y la automatización de la identificación y priorización de medidas costo-efectivas de mitigación de estos, utilizando modelos de inteligencia artificial entrenados con datos locales reales y medidas de mitigación de alto impacto validadas a nivel global, junto con técnicas  de machine learning que automaticen y profundicen sistemáticamente el aprendizaje en el contexto territorial, geoespacial y socioeconómico, con el fin de reducir significativamente los tiempos y costos asociados a la formulación de priorización de acciones climáticas, planificación e implementación  exigidos por la Ley Marco de Cambio Climático, promoviendo así una planificación climática más accesible y técnicamente robusta. La herramienta será validada técnica y económicamente mediante un piloto en al menos 2 municipalidades (Ilustre Municipalidad de La Unión e Ilustre Municipalidad de Máfil), evaluando precisión, usabilidad, replicabilidad y su capacidad de generar perfiles de proyectos aptos para la inversión pública o privada, al mismo tiempo que se valida un modelo que posibilite la efectiva introducción de la herramienta al mercado.",2025,$220.000.000,$55.000.000,$27.500.000,,Servicio,Sector público,No,Femenino,Sí,ODS13,,,,Región de Los Ríos,Pequeña,2022-02-22 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Inteligencia Artificial (IA)
25CVC-302290,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Colaborativo,Crea y Valida I+D+i Colaborativo,VIGENTE,Persona Jurídica constituida en Chile,76174097-0,Industria de Plásticos Limitada,"Tutor Biodegradable activo a partir de bioplástico, almidón modificado y microemulsión de timol, para propagar plantines injertados especies horticolas y repeler insectos plagas en vivero","Desarrollar y validar un tutor extruido biodegradable/activo a partir de bioplástico, almidón modificado de maíz y microemulsión de timol, que permita una sujeción segura de injertos de plantines de solanáceas y cucurbitáceas, y a la vez logre una liberación controlada del metabolito timol, para repeler los insectos plagas Trialeurodes vaporariorum (mosca blanca), Thrips tabaci (thrips) y áfidos (pulgones), permitiendo aumentar la tasa de éxito de injertos, mitigar el uso de plaguicidas y evitar la contaminación del suelo.",2025,$219.963.000,$56.422.000,$28.500.000,,Producto,Agrícola (excepto cultivo de uvas),No,Masculino,Sí,ODS9,,,,Región del Biobío,Pequeña,2011-11-03 0:00:00,Comercio y retail,,,,,,,,Green Technologies (Tecnologías Verdes)
25CVC-302286,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Colaborativo,Crea y Valida I+D+i Colaborativo,VIGENTE,Persona Jurídica constituida en Chile,76344261-6,REAM Ingeniería de Mantenimiento LTDA,Sistema Automatizado de Inspección de Corrosión en Ductos mediante Drones e Inteligencia Artificial,"Desarrollar un sistema de monitoreo de corrosión en líneas superficiales de gran envergadura, utilizando un sistema de cámaras y sensores montado sobre un drone, que mediante un modelo de visión por computador entrenado específicamente para esta tarea, pueda realizar una inspección completa de corrosión reduciendo la carga de trabajo y riesgo de exposición que implica el actual chequeo visual que se realiza de forma manual, mejorando la eficiencia del proceso ya que el tiempo de inspección es menor, se reduce el consumo de combustible y el riesgo al que los inspectores se encuentran actualmente expuestos dependiendo del tipo de acueducto que se esté evaluando.",2025,$219.889.999,$55.000.000,$27.500.000,,Servicio,Multisectorial,No,Masculino,No,,,,,Región del Biobío,Pequeña,2014-01-31 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Inteligencia Artificial (IA)
25CH2-305674,Renuévate,Subsidio,Capital Humano Experto,Capital Humano Experto,VIGENTE,Persona Jurídica constituida en Chile,93129000-2,Colchones Rosen S.A.I.C.,"Fortalecimiento de capacidades I+D+i en Rosen, insertando capital humano experto para desarrollar un proceso de valorización de residuos textiles, generando un insumo sostenible que mejore la productividad y potencie la competitividad.","Desarrollar un proceso técnico-económicamente viable para la valorización avanzada de residuos textiles (industriales y post-consumo), mediante la incorporación de capital humano experto y la ejecución de actividades sistemáticas de I+D+i, para generar un insumo secundario textil de alto valor que permita sustituir estratégicamente materia prima importada, reducir la huella de carbono operacional y sentar las bases para la diversificación hacia nuevos productos, fortaleciendo así las capacidades de innovación y aumentando la productividad y competitividad de Rosen.",2025,$40.000.000,$60.948.000,$33.348.000,,,Manufactura de no metálicos,No,,Sí,ODS9,,,,Región de La Araucanía,Grande,1993-01-01 0:00:00,Otras industrias manufactureras,,,,,,,,Manufactura Avanzada (Advanced Manufacturing)
25CH2-304564,Renuévate,Subsidio,Capital Humano Experto,Capital Humano Experto,VIGENTE,Persona Jurídica constituida en Chile,76498866-3,Centro de Biotecnología GreenCell SpA,Diseño y producción de una enzima quimérica para la valorización de residuos forestales mediante la generación de azúcares fermentables con potencial aplicación en la producción de bioetanol,"Fortalecer las capacidades internas de I+D+i de GreenCell mediante la contratación de un profesional altamente capacitado para el desarrollo a escala de laboratorio de una enzima quimérica con actividad catalítica dual capaz de degradar residuos procedentes de la industria forestal y generar azúcares fermentables con potencial aplicación en la producción de bioetanol, contribuyendo así a la diversificación tecnológica de la empresa y a su inserción en el emergente mercado de los biocombustibles.",2025,$40.000.000,$10.000.000,$10.000.000,,,Gestión de desechos y Valorización de residuos,No,,Sí,,,,,Región del Biobío,Microempresa,2015-05-04 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Biotecnología
25CH2-282252,Renuévate,Subsidio,Capital Humano Experto,Capital Humano Experto,VIGENTE,Persona Jurídica constituida en Chile,77624456-2,BFKB SERVICIOS INFORMATICOS E.I.R.L.,"Desarrollo de un Método Innovador para la Generación de Mecánicas, Estética e Interacción en Videojuegos mediante Modelos Matemáticos Avanzados","Desarrollar una metodología innovadora para la creación de videojuegos mediante la aplicación de modelos matemáticos avanzados, contratando un ingeniero civil matemático altamente calificado, con el fin de fortalecer las capacidades de I+D+i de la empresa y generar una línea de videojuegos diferenciada, que aumente su competitividad en la industria del entretenimiento digital.",2025,$40.000.000,$16.312.800,$8.160.000,,,Industria creativa y esparcimiento,No,Masculino,No,,,,,Región del Biobío,Pequeña,2022-08-30 0:00:00,Tecnologías de la información,,,,,,,,Inteligencia Artificial (IA)
25CH2-280512,Renuévate,Subsidio,Capital Humano Experto,Capital Humano Experto,VIGENTE,Persona Jurídica constituida en Chile,76698936-5,Soc.de Inver. y Centro de Investigación Raices SpA,"SISTEMA DE MONITOREO, PREDICCIÓN Y REPORTE DE INCIDENCIA DE XANTHOMONA SP. EN HUERTOS DE AVELLANO EUROPEO, MEDIANTE EL ANÁLISIS DE IMÁGENES MULTIESPECTRALES CON IA Y LA INTEGRACIÓN DE TÉCNICAS DE BIOLOGÍA MOLECULAR (Q-PCR),","Aumentar las capacidades científicas y tecnológicas de Centro de Investigación Raíces, a través de la incorporación de capital humano especializado que permita desarrollar un sistema de monitoreo, predicción y reporte de la incidencia de Xanthomona sp. en huertos de avellano europeo mediante el análisis de imágenes multiespectrales con Inteligencia Artificial  y la integración de técnicas de biología molecular, para la posterior evaluación y recomendación de control sobre el patógeno que permita incidir en planes de manejo eficientes para los productores.",2025,$40.000.000,$11.792.000,$6.800.000,,,Agrícola (excepto cultivo de uvas),No,Masculino,No,ODS2,,,,Región de La Araucanía,Pequeña,2017-01-31 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Inteligencia Artificial (IA)
24IRM2-278133,Desarrolla innovación,Subsidio,Innova Región Mujer,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76170707-8,Luxmeter Energy SpA,"Impulsando la Transición Energética en la Industria del Salmón: Lona Solar, una innovación sostenible en fotoperiodo y eficiencia energética","Validar un prototipo de una lona fotovoltaica flexible (Lona Solar) en entornos reales que permita el funcionamiento eficiente de lámparas de fotoperiodo en centro de cultivo de salmón, con el propósito de reducir la dependencia de combustibles fósiles entre un 16% al 24% y en consecuencia la reducción de emisiones de CO2 durante el ciclo. Proporcionará energía suficiente para la operación y funcionamiento total de las lámparas de Fotoperiodo por hasta 14 horas continuas...",2025,$67.498.450,$31.323.550,$15.665.550,,Servicio,Pesca y acuicultura,Convocatoria,Masculino,Sí,ODS7,,,,Región de los Lagos,Grande,2011-10-01 0:00:00,Manufactura de maquinaria y equipos (Metalmecánico),,,,,,,,Green Technologies (Tecnologías Verdes)
24IRM2-278055,Desarrolla innovación,Subsidio,Innova Región Mujer,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76709512-0,AEROPRO SpA,AEROPRO: Aerocámara plegable antimicrobiana biodegradable para tratamiento sustentable de enfermedades respiratorias,"Sofisticar y validar prototipo de aerocámara de celulosa antimicrobiana biodegradable mediante pruebas en entornos controlados y reales, validando su actividad antimicrobiana, capacidad dosificadora y biodegradabilidad para obtener un producto que se degrade en 1 año, fácil de transportar para reducir la incidencia de enfermedades intrahospitalarias respiratorias, reducir el uso de polímeros de un solo uso en insumo médicos y mejorar la adherencia a tratamientos en el Bio-Bio y Chile",2025,$67.500.000,$7.500.000,$3.750.000,,Producto,Salud y Farmacéutica (en humanos),Convocatoria,Femenino,Sí,ODS3,,,,Región del Biobío,Microempresa,2017-03-14 0:00:00,"Química, caucho y plásticos (excepto industria farmacéutica)",,,,,,,,Materiales Avanzados (Advanced Materials)
24IRM2-278018,Desarrolla innovación,Subsidio,Innova Región Mujer,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,77629257-5,GyE Ingeniería e Innovación SpA,Sistema de Almacenamiento de Energía Térmica Basada en Cuarzo,Desarrollar y validar comercialmente un sistema de almacenamiento de energía en forma de calor utilizando cuarzo para la generación de agua caliente sanitaria o de calefacción.,2025,$67.500.000,$7.500.000,$3.750.000,,Producto,Energético,Convocatoria,Femenino,Sí,ODS13,,,,Región del Biobío,Microempresa,2022-09-01 0:00:00,Tecnologías de la información,,,,,,,,Green Technologies (Tecnologías Verdes)
24IRM2-277928,Desarrolla innovación,Subsidio,Innova Región Mujer,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,77795630-2,SOC. COMERCIAL PULIWEN LIMITADA,"Wifkun Nutrición, una alternativa de suplemento nutricional sustentable para ganado bovino en base a biomasa de lupino: Innovación y Economía Circular en La Araucanía","Desarrollar un suplemento alimenticio innovador para ganado bovino, utilizando biomasa residual de lupino Alluprot, que contiene un alto valor proteico, y un sincronizador ruminal a base de levaduras, optimizando su valor nutricional y reduciendo la huella de carbono, para mejorar la nutrición en etapas críticas como el preparto y recría, bajo un enfoque de manejo sustentable y economía circular.",2025,$66.060.000,$12.500.000,$9.125.000,,Producto,Ganadero,Convocatoria,Femenino,Sí,ODS2,,,,Región de La Araucanía,Microempresa,2002-10-22 0:00:00,Agrícola (excepto vitivinícola),,,,,,,,Alimentos Funcionales
